택시운전사	20170802	 12,186,327 	146469
공조	20170118	 7,817,618 	142384
스파이더맨: 홈 커밍	20170705	 7,258,678 	135874
범죄도시	20171003	 6,879,841 	161242
군함도	20170726	 6,592,151 	146506
청년경찰	20170809	 5,653,270 	153652
더 킹	20170118	 5,317,693 	144314
미녀와 야수	20170316	 5,138,328 	136872
킹스맨: 골든 서클	20170927	 4,945,484 	149747
토르: 라그나로크	20171025	 4,853,778 	134898
꾼	20171122	 4,018,035 	152385
남한산성	20171003	 3,849,087 	150637
미이라	20170606	 3,689,325 	120160
분노의 질주: 더 익스트림	20170412	 3,653,238 	140731
너의 이름은.	20170104	 3,637,608 	150198
슈퍼배드 3	20170726	 3,324,874 	132626
아이 캔 스피크	20170921	 3,279,296 	161850
캐리비안의 해적: 죽은 자는 말이 없다	20170524	 3,049,894 	82473
프리즌	20170323	 2,931,897 	146517
덩케르크	20170720	 2,788,732 	146480
가디언즈 오브 갤럭시 VOL. 2	20170503	 2,735,721 	127398
살인자의 기억법	20170906	 2,658,589 	137890
트랜스포머: 최후의 기사	20170621	 2,614,601 	123630
보안관	20170503	 2,588,628 	146524
조작된 도시	20170209	 2,515,501 	127382
보스 베이비	20170503	 2,452,245 	129094
재심	20170215	 2,421,197 	149512
박열	20170628	 2,359,206 	155716
모아나	20170112	 2,310,206 	130849
마스터	20161221	 2,215,266 	145162
로건	20170301	 2,169,109 	117787
원더 우먼	20170531	 2,165,401 	125473
겟 아웃	20170517	 2,138,174 	156083
혹성탈출: 종의 전쟁	20170815	 2,051,315 	143394
애나벨 : 인형의 주인	20170810	 1,934,270 	152341
노무현입니다	20170525	 1,855,149 	162173
저스티스 리그	20171115	 1,786,383 	116866
킬러의 보디가드	20170830	 1,721,757 	152625
콩: 스컬 아일랜드	20170308	 1,689,717 	127397
23 아이덴티티	20170222	 1,675,819 	144927
임금님의 사건수첩	20170426	 1,635,003 	144280
부라더	20171102	 1,492,903 	160749
기억의 밤	20171129	 1,386,611 	160399
해피 데스데이	20171108	 1,382,650 	164932
브이아이피	20170823	 1,373,316 	152170
특별시민	20170426	 1,362,634 	146485
에이리언: 커버넌트	20170509	 1,307,226 	99715
장산범	20170817	 1,306,438 	137696
악녀	20170608	 1,208,081 	155256
해빙	20170301	 1,204,600 	137875
라라랜드	20161207	 1,185,287 	134963
하루	20170615	 1,129,609 	152168
지오스톰	20171019	 1,028,384 	129095
스타워즈: 라스트 제다이	20171214	 946,547 	125488
